Detalhamento,Data,
🤎 Snickers Meme,2025-12-31T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-01T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-02T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-03T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-04T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-05T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-06T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-07T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-08T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-09T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-10T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-11T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-12T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-13T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-14T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-15T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-16T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-17T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-18T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-19T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-20T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-21T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-22T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-23T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-24T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-25T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-26T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-27T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-28T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-29T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-30T00:00:00.000Z,0
🤎 Snickers Meme,2026-01-31T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-01T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-02T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-03T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-04T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-05T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-06T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-07T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-08T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-09T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-10T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-11T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-12T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-13T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-14T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-15T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-16T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-17T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-18T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-19T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-20T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-21T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-22T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-23T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-24T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-25T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-26T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-27T00:00:00.000Z,0
🤎 Snickers Meme,2026-02-28T00:00:00.000Z,0
🤎 Snickers Meme,2026-03-01T00:00:00.000Z,0
🤎 Snickers Meme,2026-03-02T00:00:00.000Z,0
🤎 Snickers Meme,2026-03-03T00:00:00.000Z,0
🤎 Snickers Meme,2026-03-04T00:00:00.000Z,0
🤎 Snickers Meme,2026-03-05T00:00:00.000Z,3
🤎 Snickers Meme,2026-03-06T00:00:00.000Z,8
🤎 Snickers Meme,2026-03-07T00:00:00.000Z,0
🤎 Snickers Meme,2026-03-08T00:00:00.000Z,0
🤎 Snickers Meme,2026-03-09T00:00:00.000Z,0
🤎 Snickers Meme,2026-03-10T00:00:00.000Z,0
🤎 Snickers Meme,2026-03-11T00:00:00.000Z,0
🤎 Snickers Meme,2026-03-12T00:00:00.000Z,0
🤎 Snickers Meme,2026-03-13T00:00:00.000Z,0
🤎 Snickers Meme,2026-03-14T00:00:00.000Z,0
🤎 Snickers Meme,2026-03-15T00:00:00.000Z,0
🚻😮 Girl Power,2025-12-17T00:00:00.000Z,0
🚻😮 Girl Power,2025-12-18T00:00:00.000Z,0
🚻😮 Girl Power,2025-12-19T00:00:00.000Z,0
🚻😮 Girl Power,2025-12-20T00:00:00.000Z,0
🚻😮 Girl Power,2025-12-21T00:00:00.000Z,0
🚻😮 Girl Power,2025-12-22T00:00:00.000Z,0
🚻😮 Girl Power,2025-12-23T00:00:00.000Z,0
🚻😮 Girl Power,2025-12-24T00:00:00.000Z,0
🚻😮 Girl Power,2025-12-25T00:00:00.000Z,0
🚻😮 Girl Power,2025-12-26T00:00:00.000Z,0
🚻😮 Girl Power,2025-12-27T00:00:00.000Z,0
🚻😮 Girl Power,2025-12-28T00:00:00.000Z,0
🚻😮 Girl Power,2025-12-29T00:00:00.000Z,0
🚻😮 Girl Power,2025-12-30T00:00:00.000Z,0
🚻😮 Girl Power,2025-12-31T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-01T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-02T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-03T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-04T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-05T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-06T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-07T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-08T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-09T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-10T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-11T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-12T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-13T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-14T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-15T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-16T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-17T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-18T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-19T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-20T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-21T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-22T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-23T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-24T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-25T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-26T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-27T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-28T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-29T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-30T00:00:00.000Z,0
🚻😮 Girl Power,2026-01-31T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-01T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-02T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-03T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-04T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-05T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-06T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-07T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-08T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-09T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-10T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-11T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-12T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-13T00:00:00.000Z,3
🚻😮 Girl Power,2026-02-14T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-15T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-16T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-17T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-18T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-19T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-20T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-21T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-22T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-23T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-24T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-25T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-26T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-27T00:00:00.000Z,0
🚻😮 Girl Power,2026-02-28T00:00:00.000Z,0
🚻😮 Girl Power,2026-03-01T00:00:00.000Z,0
🚻😮 Girl Power,2026-03-02T00:00:00.000Z,0
🚻😮 Girl Power,2026-03-03T00:00:00.000Z,0
🚻😮 Girl Power,2026-03-04T00:00:00.000Z,0
🚻😮 Girl Power,2026-03-05T00:00:00.000Z,0
🚻😮 Girl Power,2026-03-06T00:00:00.000Z,0
🚻😮 Girl Power,2026-03-07T00:00:00.000Z,0
🚻😮 Girl Power,2026-03-08T00:00:00.000Z,0
🚻😮 Girl Power,2026-03-09T00:00:00.000Z,0
🚻😮 Girl Power,2026-03-10T00:00:00.000Z,0
🚻😮 Girl Power,2026-03-11T00:00:00.000Z,0
🚻😮 Girl Power,2026-03-12T00:00:00.000Z,0
🚻😮 Girl Power,2026-03-13T00:00:00.000Z,4
🚻😮 Girl Power,2026-03-14T00:00:00.000Z,3
🚻😮 Girl Power,2026-03-15T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2025-12-17T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2025-12-18T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2025-12-19T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2025-12-20T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2025-12-21T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2025-12-22T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2025-12-23T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2025-12-24T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2025-12-25T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2025-12-26T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2025-12-27T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2025-12-28T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2025-12-29T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2025-12-30T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2025-12-31T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-01T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-02T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-03T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-04T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-05T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-06T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-07T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-08T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-09T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-10T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-11T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-12T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-13T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-14T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-15T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-16T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-17T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-18T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-19T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-20T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-21T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-22T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-23T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-24T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-25T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-26T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-27T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-28T00:00:00.000Z,4
"ABS Muscle, Six pack, Tanquinho",2026-01-29T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-30T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-01-31T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-01T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-02T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-03T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-04T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-05T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-06T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-07T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-08T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-09T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-10T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-11T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-12T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-13T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-14T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-15T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-16T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-17T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-18T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-19T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-20T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-21T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-22T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-23T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-24T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-25T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-26T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-27T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-02-28T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-03-01T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-03-02T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-03-03T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-03-04T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-03-05T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-03-06T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-03-07T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-03-08T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-03-09T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-03-10T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-03-11T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-03-12T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-03-13T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-03-14T00:00:00.000Z,0
"ABS Muscle, Six pack, Tanquinho",2026-03-15T00:00:00.000Z,0
Other,2025-12-17T00:00:00.000Z,0
Other,2025-12-18T00:00:00.000Z,0
Other,2025-12-19T00:00:00.000Z,0
Other,2025-12-20T00:00:00.000Z,0
Other,2025-12-21T00:00:00.000Z,0
Other,2025-12-22T00:00:00.000Z,0
Other,2025-12-23T00:00:00.000Z,0
Other,2025-12-24T00:00:00.000Z,0
Other,2025-12-25T00:00:00.000Z,0
Other,2025-12-26T00:00:00.000Z,0
Other,2025-12-27T00:00:00.000Z,0
Other,2025-12-28T00:00:00.000Z,0
Other,2025-12-29T00:00:00.000Z,0
Other,2025-12-30T00:00:00.000Z,0
Other,2025-12-31T00:00:00.000Z,0
Other,2026-01-01T00:00:00.000Z,0
Other,2026-01-02T00:00:00.000Z,0
Other,2026-01-03T00:00:00.000Z,0
Other,2026-01-04T00:00:00.000Z,0
Other,2026-01-05T00:00:00.000Z,0
Other,2026-01-06T00:00:00.000Z,4
Other,2026-01-07T00:00:00.000Z,0
Other,2026-01-08T00:00:00.000Z,0
Other,2026-01-09T00:00:00.000Z,0
Other,2026-01-10T00:00:00.000Z,0
Other,2026-01-11T00:00:00.000Z,0
Other,2026-01-12T00:00:00.000Z,0
Other,2026-01-13T00:00:00.000Z,0
Other,2026-01-14T00:00:00.000Z,0
Other,2026-01-15T00:00:00.000Z,0
Other,2026-01-16T00:00:00.000Z,0
Other,2026-01-17T00:00:00.000Z,0
Other,2026-01-18T00:00:00.000Z,0
Other,2026-01-19T00:00:00.000Z,0
Other,2026-01-20T00:00:00.000Z,0
Other,2026-01-21T00:00:00.000Z,0
Other,2026-01-22T00:00:00.000Z,0
Other,2026-01-23T00:00:00.000Z,0
Other,2026-01-24T00:00:00.000Z,0
Other,2026-01-25T00:00:00.000Z,0
Other,2026-01-26T00:00:00.000Z,0
Other,2026-01-27T00:00:00.000Z,0
Other,2026-01-28T00:00:00.000Z,0
Other,2026-01-29T00:00:00.000Z,0
Other,2026-01-30T00:00:00.000Z,0
Other,2026-01-31T00:00:00.000Z,0
Other,2026-02-01T00:00:00.000Z,0
Other,2026-02-02T00:00:00.000Z,0
Other,2026-02-03T00:00:00.000Z,0
Other,2026-02-04T00:00:00.000Z,0
Other,2026-02-05T00:00:00.000Z,0
Other,2026-02-06T00:00:00.000Z,0
Other,2026-02-07T00:00:00.000Z,0
Other,2026-02-08T00:00:00.000Z,0
Other,2026-02-09T00:00:00.000Z,0
Other,2026-02-10T00:00:00.000Z,0
Other,2026-02-11T00:00:00.000Z,0
Other,2026-02-12T00:00:00.000Z,0
Other,2026-02-13T00:00:00.000Z,0
Other,2026-02-14T00:00:00.000Z,0
Other,2026-02-15T00:00:00.000Z,0
Other,2026-02-16T00:00:00.000Z,0
Other,2026-02-17T00:00:00.000Z,0
Other,2026-02-18T00:00:00.000Z,0
Other,2026-02-19T00:00:00.000Z,0
Other,2026-02-20T00:00:00.000Z,0
Other,2026-02-21T00:00:00.000Z,0
Other,2026-02-22T00:00:00.000Z,0
Other,2026-02-23T00:00:00.000Z,0
Other,2026-02-24T00:00:00.000Z,0
Other,2026-02-25T00:00:00.000Z,0
Other,2026-02-26T00:00:00.000Z,0
Other,2026-02-27T00:00:00.000Z,0
Other,2026-02-28T00:00:00.000Z,0
Other,2026-03-01T00:00:00.000Z,0
Other,2026-03-02T00:00:00.000Z,0
Other,2026-03-03T00:00:00.000Z,0
Other,2026-03-04T00:00:00.000Z,0
Other,2026-03-05T00:00:00.000Z,0
Other,2026-03-06T00:00:00.000Z,0
Other,2026-03-07T00:00:00.000Z,0
Other,2026-03-08T00:00:00.000Z,0
Other,2026-03-09T00:00:00.000Z,0
Other,2026-03-10T00:00:00.000Z,0
Other,2026-03-11T00:00:00.000Z,0
Other,2026-03-12T00:00:00.000Z,0
Other,2026-03-13T00:00:00.000Z,0
Other,2026-03-14T00:00:00.000Z,0
Other,2026-03-15T00:00:00.000Z,4